id	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	gene_length
Gene0081	3937	876	1860	3033	4682	3783	2360	4921	4816	5177	9757	4549	3628	8146	4644
Gene0082	4689	190	2204	3293	2314	2581	548	9235	8404	7282	4539	5589	9837	6887	13560
Gene0083	1063	3350	1179	1531	3188	1680	4738	4685	4077	4330	4107	9300	7711	7609	741
Gene0084	585	1434	2581	3601	3096	4496	2344	6802	9948	3190	8957	4337	4657	5456	9452
Gene0085	788	4401	3514	1483	4510	1714	2344	6087	3275	5763	4895	9531	5131	9705	13962
Gene0086	817	4654	2537	1093	1953	2562	3057	3099	4922	9944	3672	8437	4691	6288	13084
Gene0087	829	4805	4918	4049	361	699	770	5536	5281	8671	4025	7967	4706	9858	5538
Gene0088	2686	2061	842	3446	2692	4582	4261	3047	6520	5971	4079	6663	8042	7457	6653
Gene0089	4177	1445	436	1407	3154	4234	146	3773	5403	8258	9080	5772	9632	8102	6614
Gene0090	1898	4342	3561	453	161	4491	4529	3094	3788	9070	9065	5813	4823	7676	10297
Gene0091	1262	4045	2791	817	1340	4623	3204	6097	5420	4927	7546	5911	5046	7973	11905
Gene0092	4238	3329	2808	3433	1675	4604	482	3504	6594	6624	6105	9006	3938	6632	7791
Gene0093	2295	2113	1462	4667	2928	402	1242	3115	4557	5654	7502	8226	9485	4062	10410
Gene0094	946	1261	2449	382	2449	1223	2542	6704	6521	3861	5673	8971	6432	4144	4003
Gene0095	298	3243	1628	756	4714	1862	1465	6061	4567	9696	4120	6593	9303	7784	14874
Gene0096	2044	2460	797	2018	2221	4761	338	4867	6611	9969	6231	5371	4359	6369	6256
Gene0097	4692	4690	3689	126	1672	1171	1919	3893	5139	6392	5171	4575	3630	3732	2733
Gene0098	360	2533	3978	3928	2951	1333	1308	6096	6720	8086	3418	8740	6032	5520	11359
Gene0099	1655	240	4752	2941	555	4651	3177	9377	3840	9893	3122	9946	7379	9343	1798
Gene0100	4852	2714	3020	1326	2542	354	4465	5012	3158	9109	7732	5654	5387	4573	6409
Gene0101	1723	4559	3396	2406	3093	3307	174	6808	3663	3396	7118	4854	9621	5786	4037
Gene0102	1999	3703	4335	1683	4525	1285	2591	4251	6877	9796	7569	9505	6930	6821	5557
Gene0103	2500	4333	4296	2120	4612	2605	4288	4442	9358	7015	6882	8785	9299	9435	1681
Gene0104	4355	3260	2088	4774	1770	133	114	8039	3064	5917	4589	6043	5298	8205	13078
Gene0105	145	358	2479	1606	4849	407	879	3109	6262	7298	6336	8960	7985	5913	11125
Gene0106	3180	2358	702	2051	2315	2261	472	9346	4481	5145	4017	9231	8457	5070	11377
Gene0107	1596	2659	4231	447	2149	3550	2305	5162	9156	4675	7483	8013	9229	8931	5641
Gene0108	841	4425	4921	108	3229	2706	3623	3726	9543	8106	5962	7621	3000	7976	800
Gene0109	3657	1246	4583	1133	3041	3657	3529	7639	3251	4770	8254	6381	4257	9569	13695
Gene0110	3416	1137	844	1161	1391	3852	4107	7801	3923	8144	5270	6836	9183	6569	8898
Gene0111	1467	1605	4341	4023	4714	2245	3392	5702	3524	6109	6620	4538	6578	9687	8834
Gene0112	1206	1875	4185	3026	1703	1395	3255	3029	7741	3386	5640	9022	5236	7726	6395
Gene0113	489	2381	874	12	702	165	2903	4525	6522	4620	6839	5681	8383	3334	6434
Gene0114	295	1864	1846	3268	4205	4009	205	9977	8371	6046	3679	9762	5835	3329	11895
Gene0115	1014	3994	4880	2563	3466	1118	4895	7050	5327	9314	5159	5443	5273	3258	903
Gene0116	2536	436	1523	3884	2955	2173	1327	4940	8750	6822	6447	8473	5888	5951	13544
Gene0117	3539	98	4545	719	2566	3254	4223	9578	3591	8995	8897	4838	7534	9064	10754
Gene0118	4858	860	1795	498	191	4973	3436	4225	6682	8850	3726	8670	8315	9130	2130
Gene0119	1493	3716	2109	984	3538	2122	2533	4613	7187	9193	8197	9856	4580	6310	4128
Gene0120	1726	4910	961	3353	3663	1570	3900	3595	4014	4407	3655	7671	5233	9232	5305
Gene0121	3945	2113	2878	4971	3793	3509	431	3522	3427	7347	8669	3856	9210	3039	12443
Gene0122	4060	2598	4582	1995	4258	1950	1058	6671	3464	6581	6159	9721	5627	3466	9320
Gene0123	911	3723	452	266	1074	3953	1837	5624	9971	9995	4102	7094	6693	6685	4754
Gene0124	3973	3095	2373	2781	2845	971	2253	5896	7800	8555	4077	8137	7963	7336	5581
Gene0125	2517	2627	743	4132	4505	1777	876	3170	8959	5035	8688	5304	6426	3480	10568
Gene0126	2507	2978	4626	1936	1183	2931	1536	8614	8022	9273	9942	6964	6549	3699	6368
Gene0127	724	4990	3068	350	2808	115	3527	4941	9755	5075	9713	6099	7311	5314	5680
Gene0128	1729	1323	3368	3271	2014	1970	2356	9291	6643	4484	7816	7976	9483	7757	14684
Gene0129	4466	4673	1715	1431	1631	318	4750	8320	8388	4924	3971	3943	6706	9452	14985
Gene0130	2248	1097	1040	3011	1322	3543	3614	6949	8501	3916	7200	3458	8594	7769	11207
Gene0131	4688	3509	3800	1521	1324	1564	2823	9800	9201	3546	3946	4431	8204	6132	914
Gene0132	2767	3145	4806	187	1982	2720	3006	8528	7830	5614	8182	3460	6099	7710	7479
Gene0133	4741	312	442	2965	4310	51	4761	7789	9141	3750	3751	4219	6338	3643	12251
Gene0134	1137	93	1591	610	1614	1687	3403	8163	9959	4245	4055	6726	7927	4563	10113
Gene0135	4803	3285	1852	141	2465	1468	3853	5190	4723	5383	6040	6003	6071	5073	14155
Gene0136	559	2937	1769	4621	4048	2653	253	6708	9273	4506	5904	8141	8339	4093	2166
Gene0137	1750	4985	4893	4974	2169	2423	4683	8604	8485	7947	7581	3151	4207	8960	8678
Gene0138	4398	3935	1897	1311	4702	2541	2815	4236	7316	5509	3608	8908	7327	3802	10457
Gene0139	2475	3017	2378	3796	314	1022	4203	9938	4397	4886	3660	5946	9832	4215	2976
Gene0140	2187	4374	3458	1403	3791	4757	1492	5169	9329	7841	8098	7235	9639	9587	2559
Gene0141	180	2044	4639	4452	3861	2977	3307	6559	3833	6578	5912	5724	9149	7014	6605
Gene0142	983	4778	1329	2744	3194	854	1684	9111	8790	4947	3124	7929	4040	4909	2547
Gene0143	3379	2472	4432	1646	208	1294	306	6423	9666	8538	3751	3421	5754	9154	11913
Gene0144	1783	720	4270	1218	4221	640	292	8198	8668	3702	8554	9559	5092	4185	9098
Gene0145	2063	2792	64	2714	214	2295	625	7414	4794	5340	5902	9040	4559	7801	7979
Gene0146	3815	64	1346	4629	1388	688	1217	7098	9451	5924	8888	5358	6442	8538	13943
Gene0147	545	2926	1479	1840	2427	4778	3854	8686	9404	7083	9848	7736	7797	7056	12392
Gene0148	2761	4815	3676	3396	1261	2180	4777	4099	5680	4899	5660	7065	6763	4476	6280
Gene0149	2132	2176	1758	104	969	4221	1227	3984	5750	5229	9245	7850	6903	8910	14537
Gene0150	4020	32	4713	4997	3688	1438	4767	5432	6304	4335	5007	3091	6343	3148	6077
Gene0151	2672	993	3049	4593	2286	2340	1415	6687	3894	5980	9581	3489	8205	5820	12806
Gene0152	946	1419	4114	1360	3667	2794	594	8771	9274	4585	7390	6767	8180	4160	5331
Gene0153	3747	631	286	3251	2846	3494	4721	4473	8051	6843	6967	7776	6827	3836	14415
Gene0154	4821	2700	3507	1429	641	4784	3887	5703	6218	9592	4611	8999	5820	6963	5281
Gene0155	4972	1959	1736	1445	4194	2984	2309	7313	3701	8384	8716	3907	6141	5899	10062
Gene0156	4862	791	3461	846	4357	3369	1312	5655	7218	7128	3172	7414	4588	3868	541
Gene0157	3476	2508	1039	4768	885	2806	934	4782	4766	4508	8808	4468	8870	6551	13272
Gene0158	2395	2119	3743	3021	1569	2486	1631	9186	3498	6164	8669	7046	4707	5478	13533
Gene0159	2559	1552	4319	1683	2792	3599	58	8922	3090	6227	5291	7784	4861	6467	14085
Gene0160	1221	1496	1507	4402	4648	670	3153	3303	5246	9494	5757	10000	4114	9562	6030
Gene0161	1074	3857	4494	810	3228	248	2525	7032	4505	9912	7440	8033	3852	6003	14317
Gene0162	4857	1429	3776	1512	91	172	2855	3311	3750	6223	8356	3699	8474	5381	8663
Gene0163	1395	2101	3308	924	4500	3055	2257	6823	6729	7049	9073	6502	6236	7532	2654
Gene0164	3324	4722	1204	370	659	2905	3482	5529	6324	3917	8934	6090	6402	4164	2360
Gene0165	2309	313	574	260	4618	1640	3458	9509	4387	9188	4006	3246	9649	5865	4786
Gene0166	488	4881	422	2444	3084	4113	4423	5083	3460	6533	6447	4483	3039	4456	4261
Gene0167	2222	3927	4501	3694	112	1503	4824	3514	9370	8388	8845	3546	8131	4700	13168
Gene0168	382	4128	247	3132	4252	3071	3894	3642	4158	9658	9922	4517	3902	9708	909
Gene0169	428	3346	4659	916	366	3302	85	4472	3368	8168	9883	6671	3375	3973	12460
Gene0170	628	1124	3926	1239	43	4307	2639	7752	8152	3714	6313	8974	6129	5778	2121
Gene0171	1663	980	2059	3833	682	3869	3533	4527	3586	4049	3416	5614	8156	3687	12800
Gene0172	140	852	1153	3255	3997	630	4669	8768	9226	4318	5005	5825	6848	8273	1766
Gene0173	4781	1824	1525	2215	3519	4376	4682	3672	8857	3404	4231	6161	7616	8836	5247
Gene0174	191	1650	4862	660	2448	2939	4832	6339	5777	9869	3425	6888	9975	9809	7140
Gene0175	139	1520	2640	3898	33	4415	2364	5000	4705	4020	9500	4677	8482	5855	6126
Gene0176	298	969	1644	930	1870	2875	654	4556	5240	3724	4025	5214	9097	7223	9574
Gene0177	4526	268	993	2947	1875	4649	3236	8743	8697	6016	5995	6412	5801	5789	6429
Gene0178	4397	4015	931	4605	436	3672	4031	3391	3825	6622	8384	6153	6419	3282	9148
Gene0179	4467	3070	428	46	219	4856	3339	3443	6129	7557	4587	3161	8111	7483	5598
Gene0180	2852	393	2525	4838	3648	4187	4533	6281	3661	3972	7264	9987	9722	9489	10176
Gene0181	4544	1192	1723	2449	1104	598	4432	7820	7049	4527	8878	9250	8837	6619	3284
Gene0182	565	3306	1388	2017	3522	3438	2119	9095	8412	5356	8616	9766	7103	3974	9638
Gene0183	1154	2136	3776	1706	3817	156	4236	9032	3464	6174	5458	9614	7226	3571	13796
Gene0184	2224	2880	1597	3813	3743	3667	4953	3035	7744	9065	5840	5248	4493	7260	5348
Gene0185	1554	4112	3648	121	2794	4592	3472	5298	5073	6127	8949	8347	6351	5136	10087
Gene0186	1836	4494	1287	4895	1313	1538	2007	5322	4067	3183	7696	6792	5695	4512	12316
Gene0187	1242	2789	4071	4729	3446	3453	3668	5789	5045	6142	6513	4168	9655	4000	1501
Gene0188	4883	1167	2262	1089	1148	1891	2024	7361	7739	9912	3519	8611	6398	3218	13233
Gene0189	4726	1206	662	1683	2264	1795	3678	5941	8874	4451	4479	3947	9207	6932	10443
Gene0190	3054	896	3851	1256	2290	220	3536	3179	4353	9152	5834	6419	3303	3794	11523
Gene0191	699	3378	2721	3645	332	2460	1386	7983	4264	3016	3136	3264	4542	8256	2658
Gene0192	2530	311	1767	3833	1147	1615	2081	9528	7833	5632	5059	7185	7450	3975	12749
Gene0193	4242	4580	3819	3838	3986	1131	3940	8228	7485	4696	7115	4692	9870	9776	6842
Gene0194	3722	4263	716	3363	4772	1634	4888	3319	7649	8919	4165	9638	9664	7115	3135
Gene0195	565	2943	406	103	3403	1188	2407	9156	3463	4086	8617	6679	7798	6874	7036
Gene0196	43	1449	4674	178	4663	3152	4877	7745	3007	5682	3097	7867	6165	3315	2701
Gene0197	3608	305	154	1733	3236	730	3087	3041	3686	4804	3149	5376	9512	4167	12184
Gene0198	2125	1679	2086	3491	1889	3957	3975	3294	3149	5934	8153	5280	5080	6393	996
Gene0199	1354	1893	1143	3031	4798	2432	441	5304	7604	5492	8366	7387	8919	5620	6571
Gene0200	885	941	974	1136	1836	2421	558	6699	9974	4811	9772	7336	5583	8139	14537
Gene0201	4901	470	4012	398	635	3579	2062	3763	4827	8815	5854	6937	7298	3140	8881
Gene0202	4594	4089	1378	97	2934	501	4433	3070	4835	9601	7823	4350	6963	7853	2807
Gene0203	3952	1680	54	498	2202	2212	4563	6607	7323	8443	6665	3885	5131	8045	6583
Gene0204	548	4923	2594	2294	1907	3577	3049	7669	4595	4912	4086	3829	4699	3956	8458
Gene0205	1514	2515	2687	3153	3814	1242	4542	9733	6513	7820	9902	9261	5850	9820	6387
Gene0206	4683	1254	2280	4923	4186	1290	1152	8988	8009	7724	7816	9708	4900	9246	7350
Gene0207	3171	3169	2840	2694	2376	2520	3199	8709	7640	4323	6242	5693	7636	8971	11824
Gene0208	2898	1147	1905	108	3967	4987	3095	9873	5275	4795	3154	7782	5466	6209	14560
Gene0209	83	3503	1100	2619	4559	3894	2458	6110	9776	9680	6056	3694	3103	6836	11357
Gene0210	4321	3078	4121	4030	4391	1629	1682	5578	7755	7196	3836	4513	3436	3839	6861
Gene0211	4716	3724	4850	2590	674	3295	3307	7966	3828	6467	6043	5098	4412	5195	8126
Gene0212	3558	4913	273	4766	1946	2101	4254	6826	3973	8201	7297	8352	8283	9900	4939
Gene0213	2746	4732	512	1037	4640	3697	1818	9409	5553	7882	3311	7544	4356	3878	3048
Gene0214	4985	2446	1545	2612	2380	2631	2398	4678	5390	7120	4821	3940	9701	3497	12649
Gene0215	2320	988	3547	4608	3883	2677	1976	4043	6461	3670	8899	4401	5468	4602	1460
Gene0216	3062	4085	4712	2680	4584	1951	988	8868	9651	7741	5493	6685	4737	4047	7355
Gene0217	3086	1623	3384	2249	119	667	1179	6285	3109	9150	8507	4412	8451	5450	11022
Gene0218	3549	3681	2502	4941	1331	1156	2421	4532	7197	7506	8811	4334	6546	4507	13027
Gene0219	4110	4272	2657	245	2705	544	1790	8093	7840	3222	3342	8632	7768	8876	13407
Gene0220	4711	1055	2776	4767	81	3143	29	6940	8606	7917	7117	5210	9675	4377	8478
Gene0221	3255	4503	1258	1762	4843	1219	1817	7738	4002	6189	5159	8534	5175	9304	1556
Gene0222	1212	2	3566	4443	1365	3853	2059	9601	5167	7437	3720	3994	9921	8593	7046
Gene0223	3818	4141	570	4205	4773	4508	1980	6784	5605	8025	9882	4318	8908	4351	13158
Gene0224	659	1000	4430	4624	4442	3775	1550	9933	3302	8733	9003	4977	6474	3590	4159
Gene0225	1804	2623	272	854	4696	4135	4328	6757	5849	4613	9296	8028	3189	3352	13672
Gene0226	193	1629	3717	2866	2031	1481	4581	6451	4617	6016	6572	4396	4512	3133	4302
Gene0227	4990	2988	1379	46	2248	94	45	4140	7790	3697	9781	5508	8568	6677	7485
Gene0228	4751	962	1190	2834	166	1509	3535	7705	9557	5885	8446	3816	5647	8586	5432
Gene0229	4496	3080	2315	1227	3090	2214	2492	7802	7863	6702	6213	9793	4023	5962	8489
Gene0230	4832	2300	1642	570	4580	3038	8	6105	6616	4041	5272	7646	3806	8638	9114
Gene0231	2293	337	3631	2143	3148	4751	90	5432	3087	9884	7765	6424	8134	9582	1077
Gene0232	3366	376	3656	3991	4803	2161	1780	4419	3485	7302	3525	7604	5867	8388	10008
Gene0233	4287	863	4463	732	2539	2173	3104	3052	8487	9653	8168	3589	7821	4895	539
Gene0234	4821	2171	330	402	1787	844	2015	4701	8146	6326	7762	9089	5843	8065	14833
Gene0235	1795	3325	1818	450	478	983	1906	3665	8995	9878	6980	7431	8944	7145	9003
Gene0236	664	2415	1788	4090	3450	4264	3751	4182	4292	6777	3271	3374	4748	3561	3136
Gene0237	2085	3791	3798	403	2947	740	3588	9536	6767	3015	7514	8805	3860	3735	4013
Gene0238	4007	1081	4179	2832	1064	479	4339	7937	4414	4226	4474	9907	5901	3458	6966
Gene0239	326	2015	1383	1652	1103	96	4547	6288	7461	6457	3444	4217	8556	5419	3903
Gene0240	770	3685	443	4793	1769	2904	2712	6386	9795	6851	8768	6958	6730	7199	5652
Gene0241	369	3563	732	2893	1892	3288	3131	8429	8266	5331	3747	4377	8220	7008	7220
Gene0242	2312	4829	2660	137	3530	1092	3343	7688	6072	7621	4437	7704	6034	8175	2201
Gene0243	3662	4842	4999	1819	4366	1724	4632	8774	4204	6253	7806	9784	6207	8476	9248
Gene0244	2339	4530	2941	2751	1345	656	1098	6763	8451	3135	3837	5874	3334	8353	7608
Gene0245	3032	3090	3411	4473	1817	3675	1629	5903	7041	3070	4939	3772	7994	8819	2556
Gene0246	3942	4857	767	3814	2589	1745	1473	5274	9626	6631	9827	8780	3872	7797	13995
Gene0247	3817	1363	1763	1776	4746	2800	39	7753	7197	8443	7166	6289	4675	8099	13271
Gene0248	989	907	150	3409	1030	607	3365	6045	4365	8325	3852	8813	8140	8002	1027
Gene0249	4752	2983	2011	3301	3390	1876	3522	6738	9694	7556	6200	8144	5379	3698	9433
Gene0250	3314	2793	4178	3879	4937	176	3995	3718	4587	7584	5973	7304	7537	6265	11586
Gene0251	1618	4712	1868	953	640	571	2301	8555	6734	7639	8122	9376	8142	8631	2004
Gene0252	308	4610	3722	2210	1495	3657	3348	3295	4828	6168	9987	3281	8676	7341	13086
Gene0253	4766	4147	1737	4324	4647	2027	514	6822	9141	8905	3958	9807	5131	7306	6237
Gene0254	1710	2898	3936	4329	4663	3623	1685	4667	8984	4394	6639	7595	7272	4021	1303
Gene0255	4211	3037	4795	3052	2910	4668	4226	8874	6634	7552	3065	4849	6072	6608	11669
Gene0256	2877	4421	3174	4451	3272	3993	1145	7168	3275	4005	3066	3362	7498	5484	13987
Gene0257	2462	3412	1534	4716	386	604	3103	5266	5547	6530	3246	8308	5685	9064	14480
Gene0258	386	4599	4510	4488	2441	1469	23	6987	8005	6458	3921	9779	7360	6008	6008
Gene0259	4500	1909	4523	3229	2818	4494	3231	5568	8343	3389	4999	8840	7798	8051	8267
Gene0260	923	118	2552	747	3181	237	2345	3778	9910	6423	9157	9670	3268	8347	11659
Gene0261	375	413	4254	4267	4466	117	2177	7519	5764	3123	9334	9092	5865	9975	7679
Gene0262	2213	3223	750	2687	4337	4650	883	5976	5414	3778	8144	3394	8160	4448	1058
Gene0263	2604	3949	836	4068	2023	1292	4208	9265	5385	9467	8718	5913	9295	4011	8441
Gene0264	1887	753	2401	2449	747	4142	4165	9505	9434	5428	3106	5198	8463	7957	1637
Gene0265	2736	578	1318	1474	1536	4411	1803	6533	7571	5802	5223	6701	9583	4334	1133
Gene0266	4621	3899	3368	4087	882	2570	3156	7253	7481	7546	3322	9596	3888	3832	3273
Gene0267	1646	3073	1126	3715	1902	4681	960	7349	7395	8585	8837	3005	4806	3108	3511
Gene0268	4929	18	3377	1350	4207	632	4089	7617	4891	9107	8358	3381	8732	6115	7894
Gene0269	4919	329	2589	2018	590	2264	1319	3858	5967	7965	9653	4929	5106	7239	13766
Gene0270	3634	1544	4881	2860	4201	2975	3	8728	9666	5130	8921	4217	3842	7823	11833
Gene0271	1274	4061	4648	1495	3635	2106	4460	4664	7015	3718	4874	8362	3674	7199	9633
Gene0272	3906	3366	2933	89	4350	1838	4140	7256	9777	7147	8023	6555	3907	8653	10485
Gene0273	151	3777	3329	4339	571	1277	3429	8554	6967	7459	5029	9451	5783	5718	13704
Gene0274	1871	4838	2917	2999	252	185	3462	8898	3019	5721	4704	6188	4816	9756	4739
Gene0275	1369	4803	4856	4083	2922	1901	91	9933	9700	7551	9183	9300	5336	4381	8909
Gene0276	2687	1722	1482	1399	2669	531	4381	4140	8679	5386	5648	9626	3427	4704	13510
Gene0277	4380	920	4755	2007	3875	1668	1050	8596	4775	9340	9142	3595	9896	5201	7348
Gene0278	2515	285	4763	441	3399	704	1433	9161	4202	9266	3117	9946	3464	7156	8032
Gene0279	3998	3247	789	4288	1583	1677	4436	8477	9230	3782	5105	9345	5832	8743	4745
